id,text,label,red_flags,salary,request_payment,missing_company
4c1a4451-fe08-4b35-8349-4668ef621741,"senior-level Responsibilities include: data analysis with Python Location: Bangalore, India. Apply at careers@company.com.",0,[],,0,0
88ae060b-8b5f-49ec-a291-89ac775fb3f5,Huge opportunity! Earn up to $155442 per year — entry level. pay fee We require a small processing fee of $278 Send your bank details and ID.,1,"[""pay fee"", ""missing_contact_email""]",,1,1
9013162c-91a1-4ed4-a9c2-c388f277aa00,"company benefits Responsibilities include: data analysis with Python Location: Bangalore, India. Apply at careers@company.com.",0,[],,0,0
b06985b4-c189-4a0b-a079-e917f4b354ab,Huge opportunity! Earn up to $163996 per year — entry level. visa sponsorship for a fee Contact us immediately. Limited-time offer. Send your bank details and ID.,1,"[""visa sponsorship for a fee"", ""missing_contact_email""]",,1,1
6c9b49b6-4d0f-4f89-86c9-79987efc4d01,"company benefits Responsibilities include: backend APIs with Node.js Location: Bangalore, India. Apply at careers@company.com.",0,[],34310,0,0
2588871b-f419-48a9-898f-7b2a35a7471b,Huge opportunity! Earn up to $122242 per year — entry level. wire transfer Contact us immediately. Limited-time offer.,1,"[""wire transfer"", ""missing_contact_email""]",,1,1
6ea8bd6e-8f29-4df1-b8c1-076301467c8c,"experience required Responsibilities include: data analysis with Python Location: Bangalore, India. Apply at careers@company.com.",0,[],44945,0,0
927f37f2-5a6a-4416-8972-05e8c83dba3f,Huge opportunity! Earn up to $95510 per year — entry level. wire transfer We require a small processing fee of $173,1,"[""wire transfer"", ""missing_contact_email""]",59161,1,1
f90b2e67-d0af-4134-8f97-67a4257fc189,"apply via company career portal Responsibilities include: data analysis with Python Location: Bangalore, India. Apply at careers@company.com.",0,[],157400,0,0
4a5cc72b-731f-4c15-abe8-e5e3c7c0c36a,Huge opportunity! Earn up to $52492 per year — entry level. work from home and make Contact us immediately. Limited-time offer. Send your bank details and ID.,1,"[""work from home and make"", ""missing_contact_email""]",,0,1
968b43a1-991d-4565-93fc-73591c160cc1,"apply via company career portal Responsibilities include: backend APIs with Node.js Location: Bangalore, India. Apply at careers@company.com.",0,[],88874,0,0
467b812e-148a-4570-9b67-de1d8b545ae9,Huge opportunity! Earn up to $140392 per year — entry level. only pay $ Contact us immediately. Limited-time offer. We require a small processing fee of $141,1,"[""only pay $"", ""missing_contact_email""]",,1,1
6506924c-9ccb-40ec-81e7-f15aeb99e91a,"experience required Responsibilities include: data analysis with Python Location: Bangalore, India. Apply at careers@company.com.",0,[],44685,0,0
555a296f-067c-4395-8725-ed0f73a8f246,Huge opportunity! Earn up to $193300 per year — entry level. only pay $ Send your bank details and ID.,1,"[""only pay $"", ""missing_contact_email""]",,1,1
04f79196-9ed0-44e6-9e72-642c75ac0bec,"experience required Responsibilities include: frontend development with React Location: Bangalore, India. Apply at careers@company.com.",0,[],,0,0
bd52bdf1-0fc0-4ca8-bb0e-0826a67b6ddc,Huge opportunity! Earn up to $166757 per year — entry level. only pay $ Contact us immediately. Limited-time offer. We require a small processing fee of $159,1,"[""only pay $"", ""missing_contact_email""]",,1,1
0bb56731-9d97-4434-bd3b-536ce285c175,"company benefits Responsibilities include: data analysis with Python Location: Bangalore, India. Apply at careers@company.com.",0,[],,0,0
0a8c1d99-cdc4-4878-b0f4-6d9e3d79906a,Huge opportunity! Earn up to $107526 per year — entry level. wire transfer,1,"[""wire transfer"", ""missing_contact_email""]",123521,1,1
032307e8-741e-4eb5-b383-e784f96249a6,"office location Responsibilities include: frontend development with React Location: Bangalore, India. Apply at careers@company.com.",0,[],64633,0,0
16ee4b06-d859-4566-8511-0cd8fb469e73,Huge opportunity! Earn up to $64858 per year — entry level. act fast We require a small processing fee of $199 Send your bank details and ID.,1,"[""act fast"", ""missing_contact_email""]",163407,0,1
fe4f27c3-b75f-45db-8630-03938e108c2b,"office location Responsibilities include: data analysis with Python Location: Bangalore, India. Apply at careers@company.com.",0,[],128556,0,0
0501d788-4e3b-45a9-a054-109facf57647,Huge opportunity! Earn up to $88495 per year — entry level. visa sponsorship for a fee Contact us immediately. Limited-time offer. Send your bank details and ID.,1,"[""visa sponsorship for a fee"", ""missing_contact_email""]",102428,1,1
c06a24eb-7a2c-45fe-b965-6480b0419f95,"health insurance Responsibilities include: frontend development with React Location: Bangalore, India. Apply at careers@company.com.",0,[],,0,0
58beb7b6-29df-4d43-870b-c8169cb8301b,Huge opportunity! Earn up to $142977 per year — entry level. unrealistic salary We require a small processing fee of $124 Send your bank details and ID.,1,"[""unrealistic salary"", ""missing_contact_email""]",,0,1
9c0e5232-d029-4139-b810-1327531481a4,"health insurance Responsibilities include: frontend development with React Location: Bangalore, India. Apply at careers@company.com.",0,[],34150,0,0
6574a0ba-b58b-4b61-a6d5-a1263cef2fca,Huge opportunity! Earn up to $120100 per year — entry level. only pay $,1,"[""only pay $"", ""missing_contact_email""]",172212,1,1
48c16cd6-0711-44c0-9744-e9fe5c363b35,"job code Responsibilities include: data analysis with Python Location: Bangalore, India. Apply at careers@company.com.",0,[],,0,0
72be1b2f-0a4f-43ce-85d4-da31e73ed346,Huge opportunity! Earn up to $107687 per year — entry level. send ID and bank details We require a small processing fee of $168,1,"[""missing_contact_email""]",116182,0,1
eaa6e55c-985e-4f6e-9ded-762744b07ac2,"senior-level Responsibilities include: data analysis with Python Location: Bangalore, India. Apply at careers@company.com.",0,[],108166,0,0
0d8fc6a3-2479-4f1d-9e61-fefe66c74a16,Huge opportunity! Earn up to $164515 per year — entry level. send ID and bank details Contact us immediately. Limited-time offer. We require a small processing fee of $252,1,"[""missing_contact_email""]",193059,0,1
87260249-3a2c-4c4e-bcf3-e93182f93dc7,"job code Responsibilities include: frontend development with React Location: Bangalore, India. Apply at careers@company.com.",0,[],147715,0,0
97437f4a-3481-4e18-a32a-8d5781d8d15e,Huge opportunity! Earn up to $116648 per year — entry level. visa sponsorship for a fee,1,"[""visa sponsorship for a fee"", ""missing_contact_email""]",41962,1,1
9649503b-5604-4af0-a34a-c97fdfdfd20b,"health insurance Responsibilities include: backend APIs with Node.js Location: Bangalore, India. Apply at careers@company.com.",0,[],126588,0,0
5f6c34f6-cf7b-4273-a2e2-06f9c94a5af4,Huge opportunity! Earn up to $129471 per year — entry level. send money Contact us immediately. Limited-time offer.,1,"[""send money"", ""missing_contact_email""]",,0,1
ab5ae80b-535d-4a74-96c4-dbd7deb53cad,"senior-level Responsibilities include: data analysis with Python Location: Bangalore, India. Apply at careers@company.com.",0,[],109258,0,0
c0400d5d-8f1f-49b9-9bcb-692c02e6dc9c,Huge opportunity! Earn up to $137809 per year — entry level. pay fee,1,"[""pay fee"", ""missing_contact_email""]",,1,1
16a6f331-750a-40d5-bbea-105ab7ba0e26,"company benefits Responsibilities include: frontend development with React Location: Bangalore, India. Apply at careers@company.com.",0,[],68132,0,0
a97ec253-364e-4eab-a7e8-1db97a9d5760,Huge opportunity! Earn up to $72886 per year — entry level. no interview required Contact us immediately. Limited-time offer. Send your bank details and ID.,1,"[""no interview required"", ""missing_contact_email""]",,0,1
65f348ac-1306-49d4-93a7-6cc53d16be88,"experience required Responsibilities include: frontend development with React Location: Bangalore, India. Apply at careers@company.com.",0,[],131979,0,0
1cf6cba0-f2a4-4a6b-b4e3-4ecf3db3c291,Huge opportunity! Earn up to $153074 per year — entry level. unrealistic salary Contact us immediately. Limited-time offer.,1,"[""unrealistic salary"", ""missing_contact_email""]",57782,0,1
73d9bdbb-75e2-425a-ac6c-d7fb02ef8b73,"experience required Responsibilities include: backend APIs with Node.js Location: Bangalore, India. Apply at careers@company.com.",0,[],173894,0,0
caf5de62-799b-4585-8fb3-df3cb9e2ade6,Huge opportunity! Earn up to $69931 per year — entry level. send ID and bank details Contact us immediately. Limited-time offer.,1,"[""missing_contact_email""]",24970,0,1
1a05adde-5913-4f91-90ed-d5bcb732374d,"office location Responsibilities include: data analysis with Python Location: Bangalore, India. Apply at careers@company.com.",0,[],159382,0,0
5652c820-01b3-40cc-a309-8a6c5e3830a9,Huge opportunity! Earn up to $186266 per year — entry level. work from home and make We require a small processing fee of $72 Send your bank details and ID.,1,"[""work from home and make"", ""missing_contact_email""]",,0,1
78ae13c8-a111-4119-848d-59151729e972,"senior-level Responsibilities include: backend APIs with Node.js Location: Bangalore, India. Apply at careers@company.com.",0,[],158814,0,0
3aa32223-261b-4baa-8324-b0e2aea4e444,Huge opportunity! Earn up to $120607 per year — entry level. only pay $ We require a small processing fee of $237 Send your bank details and ID.,1,"[""only pay $"", ""missing_contact_email""]",178370,1,1
522290c9-ee25-4cb6-b90e-2eaf0a605265,"senior-level Responsibilities include: backend APIs with Node.js Location: Bangalore, India. Apply at careers@company.com.",0,[],184965,0,0
8a924cd2-e807-402d-b9d6-35acb0045801,Huge opportunity! Earn up to $79283 per year — entry level. work from home and make Contact us immediately. Limited-time offer. Send your bank details and ID.,1,"[""work from home and make"", ""missing_contact_email""]",,0,1
297f5bc3-ea8c-47dd-b04f-96401039967d,"company benefits Responsibilities include: backend APIs with Node.js Location: Bangalore, India. Apply at careers@company.com.",0,[],,0,0
3ee7c8eb-6f6a-470d-b7fd-fcb6011999ce,Huge opportunity! Earn up to $97637 per year — entry level. work from home and make Contact us immediately. Limited-time offer. We require a small processing fee of $264,1,"[""work from home and make"", ""missing_contact_email""]",,0,1
6c80f9d1-8961-4790-9848-b3299270731e,"company benefits Responsibilities include: frontend development with React Location: Bangalore, India. Apply at careers@company.com.",0,[],50155,0,0
c2df960f-2f9a-403e-ac16-52ac1409cc81,Huge opportunity! Earn up to $106254 per year — entry level. pay for training We require a small processing fee of $173,1,"[""pay for training"", ""missing_contact_email""]",53239,1,1
b1f98b80-6da4-4c6d-b49c-6b50980fcb82,"job code Responsibilities include: backend APIs with Node.js Location: Bangalore, India. Apply at careers@company.com.",0,[],93169,0,0
7342af50-7576-421e-b6bc-4fdcb615bf44,Huge opportunity! Earn up to $156669 per year — entry level. send ID and bank details Send your bank details and ID.,1,"[""missing_contact_email""]",147917,0,1
be23f206-841a-4e49-9e8b-7661fbda1509,"experience required Responsibilities include: backend APIs with Node.js Location: Bangalore, India. Apply at careers@company.com.",0,[],26113,0,0
a742a4f2-d932-4a12-8c59-0a185bf16ed5,Huge opportunity! Earn up to $109384 per year — entry level. wire transfer Contact us immediately. Limited-time offer. We require a small processing fee of $257 Send your bank details and ID.,1,"[""wire transfer"", ""missing_contact_email""]",,1,1
d2102e3c-96cc-4730-92f8-3e0a1b433a0a,"experience required Responsibilities include: frontend development with React Location: Bangalore, India. Apply at careers@company.com.",0,[],,0,0
34e5d89b-6b3c-4e0c-82f4-2e054db383cd,Huge opportunity! Earn up to $184869 per year — entry level. pay for training Contact us immediately. Limited-time offer. Send your bank details and ID.,1,"[""pay for training"", ""missing_contact_email""]",33152,1,1
acd3fc86-739e-4b71-bc80-12b11ce7f6b7,"apply via company career portal Responsibilities include: data analysis with Python Location: Bangalore, India. Apply at careers@company.com.",0,[],,0,0
11614e4f-b5de-41ef-943f-bbfb27298eb3,Huge opportunity! Earn up to $193180 per year — entry level. send money Contact us immediately. Limited-time offer. Send your bank details and ID.,1,"[""send money"", ""missing_contact_email""]",104758,0,1
5360843c-b8ab-43a1-af28-561f0a272146,"office location Responsibilities include: data analysis with Python Location: Bangalore, India. Apply at careers@company.com.",0,[],,0,0
4aa20331-6a84-4aee-857f-ab2d65fed99c,Huge opportunity! Earn up to $70716 per year — entry level. only pay $ Send your bank details and ID.,1,"[""only pay $"", ""missing_contact_email""]",,1,1
ae148042-6a04-41b2-869f-81377186957a,"competitive salary Responsibilities include: backend APIs with Node.js Location: Bangalore, India. Apply at careers@company.com.",0,[],,0,0
f6138ba5-b67a-46b5-9da9-7c55336493c7,Huge opportunity! Earn up to $56578 per year — entry level. visa sponsorship for a fee We require a small processing fee of $300,1,"[""visa sponsorship for a fee"", ""missing_contact_email""]",92727,1,1
cde1c148-be1e-4e97-a78d-eee8400d092e,"senior-level Responsibilities include: data analysis with Python Location: Bangalore, India. Apply at careers@company.com.",0,[],105569,0,0
b5480caf-ce5f-41ae-942c-6a45c3e1e3d8,Huge opportunity! Earn up to $123217 per year — entry level. send ID and bank details Contact us immediately. Limited-time offer. We require a small processing fee of $116 Send your bank details and ID.,1,"[""missing_contact_email""]",,0,1
